SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
610276,MOLLISON,150162990252354
610074,MONROE,150162990252355
610076,MOOS,150162990252356
610077,MORRILL,150162990252357
610078,INTER-AMERICAN,150162990252358
610082,MOUNT GREENWOOD,150162990252361
610086,MOUNT VERNON,150162990252362
610088,MOZART,150162990252363
610089,MURPHY,150162990252365
610090,MURRAY,150162990252366
610091,BROWN R,150162990252367
610092,NASH,150162990252368
610093,NEIL,150162990252369
610094,NETTELHORST,150162990252370
610095,NEWBERRY,150162990252371
609845,CARVER G,150162990252372
610096,NIGHTINGALE,150162990252373
610097,NIXON,150162990252374
610098,NOBEL,150162990252375
610099,NORWOOD PARK,150162990252376
610101,OGDEN ES,150162990252380
610102,OGLESBY,150162990252381
610103,OKEEFFE,150162990252382
610104,ONAHAN,150162990252383
610105,ORIOLE PARK,150162990252384
610106,PICCOLO,150162990252385
610107,OTIS,150162990252386
610108,OTOOLE,150162990252387
610109,OWEN,150162990252389
610111,PALMER,150162990252391
610112,PARKER,150162990252392
610115,PARK MANOR,150162990252394
610116,PARKSIDE,150162990252395
610117,PASTEUR,150162990252396
610120,PECK,150162990252398
610122,PEIRCE,150162990252399
610123,PENN,150162990252400
610124,WASHINGTON H ES,150162990252401
610126,PERSHING,150162990252402
610127,PETERSON,150162990252403
610129,PICKARD,150162990252404
610130,PIRIE,150162990252405
610131,PLAMONDON,150162990252406
610135,PORTAGE PARK,150162990252409
610136,PRESCOTT,150162990252410
610137,PRUSSING,150162990252412
610138,PULASKI,150162990252413
610139,PULLMAN,150162990252414
610141,RAVENSWOOD,150162990252416
610142,RAY,150162990252417
610143,REAVIS,150162990252419
610144,REILLY,150162990252421
610145,REINBERG,150162990252422
610146,REVERE,150162990252423
610147,ROGERS,150162990252426
610152,RUGGLES,150162990252428
610153,RYDER,150162990252429
610155,SAUGANASH,150162990252434
610157,SAWYER,150162990252435
610158,SAYRE,150162990252436
610268,ASHE,150162990252437
610159,SCAMMON,150162990252438
610178,SCHMID,150162990252442
610165,SCHUBERT,150162990252444
610167,SEWARD,150162990252446
610081,SHERIDAN,150162990252451
610171,MIRELES,150162990252452
610172,SHERMAN,150162990252453
610173,SHERWOOD,150162990252454
610174,SHIELDS,150162990252455
610175,SHOESMITH,150162990252456
610176,SHOOP,150162990252457
610177,SKINNER,150162990252458
610179,SMYSER,150162990252459
610180,SMYTH,150162990252460
610182,SOLOMON,150162990252461
610183,SPENCER,150162990252462
610339,STAGG,150162990252464
610185,STEVENSON,150162990252465
610191,STONE,150162990252468
610184,SPRY ES,150162990252469
610192,STOWE,150162990252472
610193,NEW SULLIVAN,150162990252474
610194,SUMNER,150162990252475
610195,SUTHERLAND,150162990252476
610196,SWIFT,150162990252477
610197,TALCOTT,150162990252478
610279,TANNER,150162990252479
610198,TAYLOR,150162990252480
