SCHOOL ID (R-C-D-T-S),"SCHOOL TYPE CODE (0,1,2,C)",SCHOOL NAME,DISTRICT NAME,CITY,COUNTY ,"DISTRICT TYPE CODE (0,1,2,9)","DISTRICT SIZE CODE (1,2,...8,9)",DISTRICT TYPE NAME,DISTRICT SIZE NAME,SCHOOL TYPE NAME,GRADES IN SCHOOL,SCHOOL - WHITE %,SCHOOL - BLACK %,SCHOOL - HISPANIC %,SCHOOL - ASIAN %,SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,SCHOOL - NATIVE AMERICAN %,SCHOOL - TWO OR MORE RACES %,SCHOOL TOTAL ENROLLMENT,DISTRICT - WHITE %,DISTRICT - BLACK %,DISTRICT - HISPANIC %,DISTRICT - ASIAN %,DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,DISTRICT - NATIVE AMERICAN %,DISTRICT - TWO OR MORE RACES %,DISTRICT TOTAL ENROLLMENT
50160650041007,1,Haven Middle School              ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,56.1,18.2,14.2,3.4,0.1,0.2,7.8,833,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650041012,1,Nichols Middle School            ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,50.6,17.2,18.9,2.9,0,0.6,9.9,716,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042004,2,Dawes Elementary School          ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,24.9,29.8,37,1.3,0,0,7,373,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042005,2,Dewey Elem School                ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,48.1,13.6,22.9,6.5,0,0,8.9,538,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042009,2,Lincoln Elem School              ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,54.3,16.6,8.6,8.4,0.2,0.4,11.6,525,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042010,2,Lincolnwood Elem School          ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,54.1,24.9,8.4,2.5,0,0.2,9.9,405,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042014,2,Oakton Elem School               ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,25.5,36.1,27.7,1.2,0,0.5,8.9,404,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042015,2,Orrington Elem School            ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,62.9,11.9,3,10.7,0.3,0,11.2,394,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042019,2,Walker Elem School               ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,29.9,31.3,16.3,12.8,0,0.3,9.5,368,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042020,2,Washington Elem School           ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,41,12.1,36.8,1.1,0,0,9,544,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
